	Symbol	Alias	Name	RNA_seq
6822.1	SULT2A1	['DHEA-ST', 'DHEAS', 'HST', 'ST2', 'ST2A1', 'ST2A3', 'STD', 'hSTa']	sulfotransferase family 2A member 1	0
6573.1	SLC19A1	['CHMD', 'FOLT', 'IFC-1', 'IFC1', 'REFC', 'RFC', 'RFC1', 'RFT-1', 'hRFC', 'hSLC19A1']	solute carrier family 19 member 1	80.6666666666667
6573.2	SLC19A1	['CHMD', 'FOLT', 'IFC-1', 'IFC1', 'REFC', 'RFC', 'RFC1', 'RFT-1', 'hRFC', 'hSLC19A1']	solute carrier family 19 member 1	80.6666666666667
316.1	AOX1	['AO', 'AOH1']	aldehyde oxidase 1	69.6666666666667
6571.1	SLC18A2	['PKDYS2', 'SVAT', 'SVMT', 'VAT2', 'VMAT2']	solute carrier family 18 member A2	10.3333333333333
6570.1	SLC18A1	['CGAT', 'VAT1', 'VMAT1']	solute carrier family 18 member A1	0
2348.1	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	14.3333333333333
2348.5	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	14.3333333333333
2352.1	FOLR3	['FR-G', 'FR-gamma', 'FRgamma', 'gamma-hFR']	folate receptor gamma	0
2348.2	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	14.3333333333333
2348.4	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	14.3333333333333
2348.6	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	14.3333333333333
2348.3	FOLR1	['FBP', 'FOLR', 'FRalpha']	folate receptor alpha	14.3333333333333
4125.1	MAN2B1	['LAMAN', 'MANB']	mannosidase alpha class 2B member 1	28.3333333333333
53947.1	A4GALT	['A14GALT', 'A4GALT1', 'Gb3S', 'P(k)', 'P1', 'P1PK', 'PK']	alpha 1,4-galactosyltransferase (P blood group)	1.66666666666667
51146.1	A4GNT	alpha4GnT	alpha-1,4-N-acetylglucosaminyltransferase	0
28.1	ABO	['A3GALNT', 'A3GALT1', 'GTB', 'NAGAT']	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	0
206358.1	SLC36A1	['Dct1', 'LYAAT1', 'PAT1', 'TRAMD3']	solute carrier family 36 member 1	81
6529.1	SLC6A1	['GABATHG', 'GABATR', 'GAT1', 'MAE']	solute carrier family 6 member 1	0.666666666666667
6539.1	SLC6A12	['BGT-1', 'BGT1', 'GAT2']	solute carrier family 6 member 12	0.666666666666667
6538.1	SLC6A11	['GAT-3', 'GAT3', 'GAT4']	solute carrier family 6 member 11	6
6540.1	SLC6A13	['GAT-2', 'GAT2', 'GAT3']	solute carrier family 6 member 13	1.33333333333333
10449.1	ACAA2	DSAEC	acetyl-CoA acyltransferase 2	86
38.1	ACAT1	['ACAT', 'MAT', 'T2', 'THIL']	acetyl-CoA acetyltransferase 1	44.3333333333333
3032.1	HADHB	['ECHB', 'MSTP029', 'MTPB', 'TP-BETA']	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	160
3030.1	HADHA	['ECHA', 'GBP', 'HADH', 'LCEH', 'LCHAD', 'MTPA', 'TP-ALPHA']	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	344.333333333333
39.1	ACAT2		acetyl-CoA acetyltransferase 2	28.3333333333333
30.1	ACAA1	['ACAA', 'PTHIO', 'THIO']	acetyl-CoA acyltransferase 1	15
32.1	ACACB	['ACC2', 'ACCB', 'HACC275']	acetyl-CoA carboxylase beta	13.6666666666667
9197.1	SLC33A1	['ACATN', 'AT-1', 'AT1', 'CCHLND', 'SPG42']	solute carrier family 33 member 1	17.3333333333333
84532.1	ACSS1	['ACAS2L', 'ACECS1', 'AceCS2L']	acyl-CoA synthetase short chain family member 1	0
79611.1	ACSS3		acyl-CoA synthetase short chain family member 3	18.3333333333333
64841.1	GNPNAT1	['GNA1', 'GNPNAT', 'Gpnat1']	glucosamine-phosphate N-acetyltransferase 1	99.3333333333333
55577.1	NAGK	['GNK', 'HSA242910']	N-acetylglucosamine kinase	59
5238.1	PGM3	['AGM1', 'IMD23', 'PAGM', 'PGM 3']	phosphoglucomutase 3	41.3333333333333
9487.1	PIGL	CHIME	phosphatidylinositol glycan anchor biosynthesis class L	8
162417.1	NAGS	['AGAS', 'ARGA']	N-acetylglutamate synthase	4
43.2	ACHE	['ACEE', 'ARACHE', 'N-ACHE', 'YT']	acetylcholinesterase (Cartwright blood group)	7.66666666666667
43.1	ACHE	['ACEE', 'ARACHE', 'N-ACHE', 'YT']	acetylcholinesterase (Cartwright blood group)	7.66666666666667
6572.1	SLC18A3	['CMS21', 'VACHT']	solute carrier family 18 member A3	0.333333333333333
47.2	ACLY	['ACL', 'ATPCL', 'CLATP']	ATP citrate lyase	468
47.1	ACLY	['ACL', 'ATPCL', 'CLATP']	ATP citrate lyase	468
54187.1	NANS	['HEL-S-100', 'SAS', 'SEMDCG', 'SEMDG']	N-acetylneuraminate synthase	34.3333333333333
26503.1	SLC17A5	['AST', 'ISSD', 'NSD', 'SD', 'SIALIN', 'SIASD', 'SLD']	solute carrier family 17 member 5	22
140838.1	NANP	['C20orf147', 'HDHD4', 'dJ694B14.3']	N-acetylneuraminic acid phosphatase	58.6666666666667
51205.1	ACP6	['ACPL1', 'LPAP', 'PACPL1']	acid phosphatase 6, lysophosphatidic	24
54.1	ACP5	['HPAP', 'TRACP5a', 'TRACP5b', 'TRAP', 'TrATPase']	acid phosphatase 5, tartrate resistant	0.333333333333333
34.1	ACADM	['ACAD1', 'MCAD', 'MCADH']	acyl-CoA dehydrogenase medium chain	45
36.1	ACADSB	['2-MEBCAD', 'ACAD7', 'SBCAD']	acyl-CoA dehydrogenase short/branched chain	25.6666666666667
35.1	ACADS	['ACAD3', 'SCAD']	acyl-CoA dehydrogenase short chain	5.33333333333333
84129.1	ACAD11	ACAD-11	acyl-CoA dehydrogenase family member 11	0.333333333333333
27034.1	ACAD8	['ACAD-8', 'ARC42', 'IBDH']	acyl-CoA dehydrogenase family member 8	17
80724.1	ACAD10		acyl-CoA dehydrogenase family member 10	40
28976.1	ACAD9	['MC1DN20', 'NPD002']	acyl-CoA dehydrogenase family member 9	54.3333333333333
3712.1	IVD	ACAD2	isovaleryl-CoA dehydrogenase	83.3333333333333
134526.1	ACOT12	['CACH-1', 'Cach', 'STARD15', 'THEAL']	acyl-CoA thioesterase 12	0
51.1	ACOX1	['ACOX', 'PALMCOX', 'SCOX']	acyl-CoA oxidase 1	121
51.2	ACOX1	['ACOX', 'PALMCOX', 'SCOX']	acyl-CoA oxidase 1	121
95.1	ACY1	['ACY-1', 'ACY1D', 'HEL-S-5']	aminoacylase 1	1
50.1	ACO2	['ACONM', 'HEL-S-284', 'ICRD', 'OCA8', 'OPA9']	aconitase 2	83
48.1	ACO1	['ACONS', 'HEL60', 'IREB1', 'IREBP', 'IREBP1', 'IRP1']	aconitase 1	145.333333333333
8309.1	ACOX2	['BCOX', 'BRCACOX', 'BRCOX', 'CBAS6', 'THCCox']	acyl-CoA oxidase 2	1.33333333333333
52.2	ACP1	['HAAP', 'LMW-PTP', 'LMWPTP']	acid phosphatase 1	86.6666666666667
52.1	ACP1	['HAAP', 'LMW-PTP', 'LMWPTP']	acid phosphatase 1	86.6666666666667
52.3	ACP1	['HAAP', 'LMW-PTP', 'LMWPTP']	acid phosphatase 1	86.6666666666667
55.1	ACP3	"[""5'-NT"", 'ACP-3', 'ACPP', 'TM-PAP']"	acid phosphatase 3	0.333333333333333
788.1	SLC25A20	['CAC', 'CACT']	solute carrier family 25 member 20	1.66666666666667
65985.1	AACS	['ACSF1', 'SUR-5']	acetoacetyl-CoA synthetase	59
55902.1	ACSS2	['ACAS2', 'ACECS', 'ACS', 'ACSA', 'AceCS1', 'dJ1161H23.1']	acyl-CoA synthetase short chain family member 2	35.6666666666667
55902.2	ACSS2	['ACAS2', 'ACECS', 'ACS', 'ACSA', 'AceCS1', 'dJ1161H23.1']	acyl-CoA synthetase short chain family member 2	35.6666666666667
438.1	ASMT	['ASMTY', 'HIOMT', 'HIOMTY']	acetylserotonin O-methyltransferase	0
1571.1	CYP 20	['CPE1', 'CYP2E', 'P450-J', 'P450C2E']	cytochrome P450 family 2 subfamily E member 1	8.66666666666667
100.1	ADA	ADA1	adenosine deaminase	16.3333333333333
3177.1	SLC29A2	['DER12', 'ENT2', 'HNP36']	solute carrier family 29 member 2	40.6666666666667
204.1	AK2	ADK2	adenylate kinase 2	219.666666666667
204.3	AK2	ADK2	adenylate kinase 2	219.666666666667
205.3	AK4	['AK 4', 'AK3', 'AK3L1', 'AK3L2']	adenylate kinase 4	89.6666666666667
205.1	AK4	['AK 4', 'AK3', 'AK3L1', 'AK3L2']	adenylate kinase 4	89.6666666666667
205.2	AK4	['AK 4', 'AK3', 'AK3L1', 'AK3L2']	adenylate kinase 4	89.6666666666667
204.2	AK2	ADK2	adenylate kinase 2	219.666666666667
26289.2	AK5	AK6	adenylate kinase 5	24.6666666666667
26289.1	AK5	AK6	adenylate kinase 5	24.6666666666667
50808.1	AK3	['AK3L1', 'AK6', 'AKL3L', 'AKL3L1', 'FIX']	adenylate kinase 3	57.3333333333333
262.1	AMD 1	['ADOMETDC', 'AMD', 'SAMDC']	adenosylmethionine decarboxylase 1	159.666666666667
107.1	ADCY1	['AC1', 'DFNB44']	adenylate cyclase 1	73
114.1	ADCY8	['AC8', 'ADCY3', 'HBAC1']	adenylate cyclase 8	2.33333333333333
112.2	ADCY6	['AC6', 'LCCS8']	adenylate cyclase 6	60.3333333333333
113.1	ADCY7	AC7	adenylate cyclase 7	64.3333333333333
196883.1	ADCY4	AC4	adenylate cyclase 4	1
112.1	ADCY6	['AC6', 'LCCS8']	adenylate cyclase 6	60.3333333333333
115.1	ADCY9	['AC9', 'ACIX']	adenylate cyclase 9	57.3333333333333
111.1	ADCY5	['AC5', 'FDFM']	adenylate cyclase 5	6.33333333333333
108.1	ADCY2	['AC2', 'HBAC2']	adenylate cyclase 2	3
109.1	ADCY3	['AC-III', 'AC3', 'BMIQ19']	adenylate cyclase 3	109.666666666667
55811.1	ADCY10	['HCA2', 'HEL-S-7a', 'SAC', 'SACI', 'Sacy', 'hsAC']	adenylate cyclase 10	0.333333333333333
2030.1	SLC29A1	ENT1	solute carrier family 29 member 1 (Augustine blood group)	124
9154.2	SLC28A1	['CNT1', 'HCNT1', 'URCTU']	solute carrier family 28 member 1	0.333333333333333
9154.1	SLC28A1	['CNT1', 'HCNT1', 'URCTU']	solute carrier family 28 member 1	0.333333333333333
9153.1	SLC28A2	['CNT2', 'HCNT2', 'HsT17153', 'SPNT1']	solute carrier family 28 member 2	2.33333333333333
64078.1	SLC28A3	CNT3	solute carrier family 28 member 3	0
55315.1	SLC29A3	['ENT3', 'HCLAP', 'HJCD', 'PHID']	solute carrier family 29 member 3	13.6666666666667
11164.1	NUDT5	['YSA1', 'YSA1H', 'YSAH1', 'hNUDT5']	nudix hydrolase 5	72.3333333333333
952.1	CD38	['ADPRC 1', 'ADPRC1']	CD38 molecule	0
1375.3	CPT1B	['CPT1-M', 'CPT1M', 'CPTI', 'CPTI-M', 'M-CPT1', 'MCCPT1', 'MCPT1']	carnitine palmitoyltransferase 1B	1.66666666666667
1375.1	CPT1B	['CPT1-M', 'CPT1M', 'CPTI', 'CPTI-M', 'M-CPT1', 'MCCPT1', 'MCPT1']	carnitine palmitoyltransferase 1B	1.66666666666667
126129.1	CPT1C	['CATL1', 'CPT1-B', 'CPT1P', 'CPTI-B', 'CPTIC', 'SPG73']	carnitine palmitoyltransferase 1C	3.66666666666667
1375.4	CPT1B	['CPT1-M', 'CPT1M', 'CPTI', 'CPTI-M', 'M-CPT1', 'MCCPT1', 'MCPT1']	carnitine palmitoyltransferase 1B	1.66666666666667
1374.1	CPT1A	['CPT1', 'CPT1-L', 'L-CPT1']	carnitine palmitoyltransferase 1A	6.33333333333333
1375.2	CPT1B	['CPT1-M', 'CPT1M', 'CPTI', 'CPTI-M', 'M-CPT1', 'MCCPT1', 'MCPT1']	carnitine palmitoyltransferase 1B	1.66666666666667
1376.1	CPT2	['CPT1', 'CPTASE', 'IIAE4']	carnitine palmitoyltransferase 2	18.3333333333333
9060.1	PAPSS2	['ATPSK2', 'BCYM4', 'SK2']	3'-phosphoadenosine 5'-phosphosulfate synthase 2	100.666666666667
9061.1	PAPSS1	['ATPSK1', 'PAPSS', 'SK1']	3'-phosphoadenosine 5'-phosphosulfate synthase 1	96.3333333333333
158.2	ADSL	['AMPS', 'ASASE', 'ASL']	adenylosuccinate lyase	43.6666666666667
158.1	ADSL	['AMPS', 'ASASE', 'ASL']	adenylosuccinate lyase	43.6666666666667
374907.2	B3GNT8	['B3GALT7', 'BGALT15', 'beta3Gn-T8']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	1.33333333333333
10678.1	B3GNT2	['3-Gn-T1', '3-Gn-T2', 'B3GN-T2', 'B3GNT', 'B3GNT-2', 'B3GNT1', 'BETA3GNT', 'BGNT2', 'BGnT-2', 'beta-1', 'beta3Gn-T1', 'beta3Gn-T2']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	37.6666666666667
11041.1	B4GAT1	['B3GN-T1', 'B3GNT1', 'B3GNT6', 'BETA3GNTI', 'MDDGA13', 'iGAT', 'iGNT']	beta-1,4-glucuronyltransferase 1	27
93010.1	B3GNT7	beta3GnT7	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	1.66666666666667
79369.1	B3GNT4	['B3GN-T4', 'beta3Gn-T4']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	8
10678.2	B3GNT2	['3-Gn-T1', '3-Gn-T2', 'B3GN-T2', 'B3GNT', 'B3GNT-2', 'B3GNT1', 'BETA3GNT', 'BGNT2', 'BGnT-2', 'beta-1', 'beta3Gn-T1', 'beta3Gn-T2']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	37.6666666666667
146712.1	B3GNTL1	['3-Gn-T8', 'B3GNT8', 'BGnT-8', 'beta-1', 'beta3Gn-T8', 'beta3GnTL1']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	34.3333333333333
10331.1	B3GNT3	['B3GAL-T8', 'B3GN-T3', 'B3GNT-3', 'HP10328', 'TMEM3', 'beta3Gn-T3']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	7.66666666666667
374907.1	B3GNT8	['B3GALT7', 'BGALT15', 'beta3Gn-T8']	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	1.33333333333333
79814.1	AGMAT		agmatinase	1.33333333333333
10554.1	AGPAT1	['1-AGPAT1', 'G15', 'LPAAT-alpha', 'LPAATA']	1-acylglycerol-3-phosphate O-acyltransferase 1	91.6666666666667
56894.1	AGPAT3	['1-AGPAT 3', 'LPAAT-GAMMA1', 'LPAAT3']	1-acylglycerol-3-phosphate O-acyltransferase 3	0.333333333333333
55326.1	AGPAT5	['1AGPAT5', 'LPAATE']	1-acylglycerol-3-phosphate O-acyltransferase 5	76
10555.1	AGPAT2	['1-AGPAT2', 'BSCL', 'BSCL1', 'LPAAB', 'LPAAT-beta']	1-acylglycerol-3-phosphate O-acyltransferase 2	47.3333333333333
56895.1	AGPAT4	['1-AGPAT4', 'LPAAT-delta', 'dJ473J16.2']	1-acylglycerol-3-phosphate O-acyltransferase 4	79.3333333333333
137964.1	GPAT4	['1-AGPAT 6', 'AGPAT6', 'LPAAT-zeta', 'LPAATZ', 'TSARG7']	glycerol-3-phosphate acyltransferase 4	84.3333333333333
56894.2	AGPAT3	['1-AGPAT 3', 'LPAAT-GAMMA1', 'LPAAT3']	1-acylglycerol-3-phosphate O-acyltransferase 3	0.333333333333333
129642.1	MBOAT2	['LPAAT', 'LPCAT4', 'LPEAT', 'LPLAT 2', 'OACT2']	membrane bound O-acyltransferase domain containing 2	136
64902.1	AGXT2	['AGT2', 'BAIBA', 'DAIBAT']	alanine--glyoxylate aminotransferase 2	0
64850.1	ETNPPL	AGXT2L1	ethanolamine-phosphate phospho-lyase	0.333333333333333
189.1	AGXT	['AGT', 'AGT1', 'AGXT1', 'PH1', 'SPAT', 'SPT', 'TLH6']	alanine--glyoxylate and serine--pyruvate aminotransferase	0
3074.1	HEXB	['ENC-1AS', 'HEL-248', 'HEL-S-111']	hexosaminidase subunit beta	36
3073.1	HEXA	TSD	hexosaminidase subunit alpha	83.6666666666667
10606.1	PAICS	['ADE2', 'ADE2H1', 'AIRC', 'PAIS']	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase	811
1468.1	SLC25A10	DIC	solute carrier family 25 member 10	25
8402.1	SLC25A11	['OGC', 'PGL6', 'SLC20A4']	solute carrier family 25 member 11	21.6666666666667
64849.1	SLC13A3	['ARLIAK', 'NADC3', 'SDCT2']	solute carrier family 13 member 3	4.33333333333333
64849.2	SLC13A3	['ARLIAK', 'NADC3', 'SDCT2']	solute carrier family 13 member 3	4.33333333333333
1645.1	AKR1C1	['2-ALPHA-HSD', '20-ALPHA-HSD', 'C9', 'DD1', 'DD1/DD2', 'DDH', 'DDH1', 'H-37', 'HAKRC', 'HBAB', 'MBAB']	aldo-keto reductase family 1 member C1	2.66666666666667
1109.1	AKR1C4	['3-alpha-HSD', 'C11', 'CDR', 'CHDR', 'DD-4', 'DD4', 'HAKRA']	aldo-keto reductase family 1 member C4	0.333333333333333
6718.1	AKR1D1	['3o5bred', 'CBAS2', 'SRD5B1']	aldo-keto reductase family 1 member D1	0
6510.1	SLC1A5	['AAAT', 'ASCT2', 'ATBO', 'M7V1', 'M7VS1', 'R16', 'RDRC']	solute carrier family 1 member 5	332
6509.1	SLC1A4	['ASCT1', 'SATT', 'SPATCCM']	solute carrier family 1 member 4	146
6520.1	SLC3A2	['4F2', '4F2HC', '4T2HC', 'CD98', 'CD98HC', 'MDU1', 'NACAE']	solute carrier family 3 member 2	359.666666666667
56301.1	SLC7A10	['ASC1', 'HASC-1', 'asc-1']	solute carrier family 7 member 10	1.66666666666667
211.2	ALAS1	['ALAS', 'ALAS-H', 'ALAS3', 'ALASH', 'MIG4']	5'-aminolevulinate synthase 1	75.3333333333333
211.1	ALAS1	['ALAS', 'ALAS-H', 'ALAS3', 'ALASH', 'MIG4']	5'-aminolevulinate synthase 1	75.3333333333333
